scenario,tcpVariant,nNodes,nFlows,pktPerSec,speed,simTime,seed,throughputMbps,avgDelayMs,pdr,dropRatio,energyJ
wifi-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,1,3.029028,17.642463,0.932161,0.067839,999.813029
wifi-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,2,3.673657,24.887859,0.927228,0.072772,1000.791208
wifi-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,3,2.733448,12.671832,0.904677,0.095323,998.141817
wifi-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,1,4.389024,15.237300,0.919185,0.080815,2002.427783
wifi-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,2,3.141447,18.323114,0.907547,0.092453,1997.532853
wifi-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,3,3.023699,20.311215,0.900870,0.099130,1995.326099
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,3.030410,21.186870,0.890950,0.109050,2994.522241
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,2.923018,33.426761,0.901399,0.098601,2996.006923
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,3,2.428682,27.873247,0.886092,0.113908,2996.230727
wifi-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,1,2.728368,47.954605,0.846236,0.153764,4008.963154
wifi-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,2,1.876649,60.799076,0.813449,0.186551,4008.303302
wifi-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,3,1.360991,60.544121,0.813824,0.186176,3998.392253
wifi-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,1,1.187386,96.021655,0.712120,0.287880,5025.396783
wifi-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,2,1.289951,100.851831,0.736969,0.263031,5015.691855
wifi-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,3,0.995932,111.453736,0.682153,0.317847,5021.702433
wifi-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,1,0.527558,47.091016,0.810027,0.189973,2964.456248
wifi-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,2,1.606292,18.896387,0.906457,0.093543,2972.077807
wifi-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,3,1.054135,30.214239,0.868861,0.131139,2970.218970
wifi-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,1,2.128528,25.769461,0.895986,0.104014,2985.032399
wifi-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,2,2.965115,21.012665,0.899455,0.100545,2993.647428
wifi-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,3,1.823305,24.180717,0.884802,0.115198,2982.278856
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,3.030410,21.186870,0.890950,0.109050,2994.522241
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,2.923018,33.426761,0.901399,0.098601,2996.006923
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,3,2.428682,27.873247,0.886092,0.113908,2996.230727
wifi-mobile,ns3::TcpFusion,60,40,300,15.000000,60.000000,1,3.225235,37.906033,0.881894,0.118106,3007.547949
wifi-mobile,ns3::TcpFusion,60,40,300,15.000000,60.000000,2,3.589715,31.826412,0.893822,0.106178,3005.513049
wifi-mobile,ns3::TcpFusion,60,40,300,15.000000,60.000000,3,3.450302,28.487122,0.892078,0.107922,3007.145142
wifi-mobile,ns3::TcpFusion,60,50,300,15.000000,60.000000,1,3.624232,32.837493,0.884824,0.115176,3010.382860
wifi-mobile,ns3::TcpFusion,60,50,300,15.000000,60.000000,2,3.669980,36.953548,0.888900,0.111100,3011.031950
wifi-mobile,ns3::TcpFusion,60,50,300,15.000000,60.000000,3,3.514521,40.729701,0.865913,0.134087,3016.578806
wifi-mobile,ns3::TcpFusion,60,30,100,15.000000,60.000000,1,1.638954,30.824478,0.859454,0.140546,2991.694332
wifi-mobile,ns3::TcpFusion,60,30,100,15.000000,60.000000,2,1.425892,35.330873,0.852791,0.147209,2988.622892
wifi-mobile,ns3::TcpFusion,60,30,100,15.000000,60.000000,3,1.306591,33.918981,0.849365,0.150635,2987.560940
wifi-mobile,ns3::TcpFusion,60,30,200,15.000000,60.000000,1,2.205437,28.572190,0.885143,0.114857,2994.529648
wifi-mobile,ns3::TcpFusion,60,30,200,15.000000,60.000000,2,3.260579,25.473073,0.893447,0.106553,2998.962390
wifi-mobile,ns3::TcpFusion,60,30,200,15.000000,60.000000,3,1.999703,28.545915,0.875270,0.124730,2992.565723
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,3.030410,21.186870,0.890950,0.109050,2994.522241
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,2.923018,33.426761,0.901399,0.098601,2996.006923
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,3,2.428682,27.873247,0.886092,0.113908,2996.230727
wifi-mobile,ns3::TcpFusion,60,30,400,15.000000,60.000000,1,3.650863,21.658023,0.906579,0.093421,2998.118395
wifi-mobile,ns3::TcpFusion,60,30,400,15.000000,60.000000,2,3.937838,28.790516,0.903396,0.096604,3003.983670
wifi-mobile,ns3::TcpFusion,60,30,400,15.000000,60.000000,3,2.982093,27.511179,0.883850,0.116150,2998.383599
wifi-mobile,ns3::TcpFusion,60,30,500,15.000000,60.000000,1,3.365625,29.825789,0.899678,0.100322,2997.077230
wifi-mobile,ns3::TcpFusion,60,30,500,15.000000,60.000000,2,4.606752,24.590966,0.917862,0.082138,3005.311140
wifi-mobile,ns3::TcpFusion,60,30,500,15.000000,60.000000,3,3.394637,28.302704,0.899871,0.100129,3004.351832
wifi-mobile,ns3::TcpFusion,60,30,300,5.000000,60.000000,1,5.477122,17.532560,0.949301,0.050699,3011.522167
wifi-mobile,ns3::TcpFusion,60,30,300,5.000000,60.000000,2,5.327037,27.183142,0.950916,0.049084,3010.907836
wifi-mobile,ns3::TcpFusion,60,30,300,5.000000,60.000000,3,3.840282,30.478650,0.927250,0.072750,3014.021483
wifi-mobile,ns3::TcpFusion,60,30,300,10.000000,60.000000,1,4.097809,26.708624,0.914977,0.085023,3005.262043
wifi-mobile,ns3::TcpFusion,60,30,300,10.000000,60.000000,2,4.547301,26.701331,0.930836,0.069164,3008.344657
wifi-mobile,ns3::TcpFusion,60,30,300,10.000000,60.000000,3,2.424762,32.493472,0.899780,0.100220,2994.193757
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,3.030410,21.186870,0.890950,0.109050,2994.522241
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,2.923018,33.426761,0.901399,0.098601,2996.006923
wifi-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,3,2.428682,27.873247,0.886092,0.113908,2996.230727
wifi-mobile,ns3::TcpFusion,60,30,300,20.000000,60.000000,1,2.487335,24.882090,0.865340,0.134660,2991.531499
wifi-mobile,ns3::TcpFusion,60,30,300,20.000000,60.000000,2,3.027681,26.620762,0.879988,0.120012,2995.768184
wifi-mobile,ns3::TcpFusion,60,30,300,20.000000,60.000000,3,2.379853,26.965562,0.872852,0.127148,2992.498149
wifi-mobile,ns3::TcpFusion,60,30,300,25.000000,60.000000,1,2.463364,28.221523,0.843760,0.156240,2992.269964
wifi-mobile,ns3::TcpFusion,60,30,300,25.000000,60.000000,2,2.930661,22.188546,0.860919,0.139081,2996.505279
wifi-mobile,ns3::TcpFusion,60,30,300,25.000000,60.000000,3,1.447385,39.216633,0.816085,0.183915,2984.048976
lrwpan-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,1,0.100822,266.952945,0.792026,0.207974,4.169992
lrwpan-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,2,0.096215,243.142984,0.751196,0.248804,4.155277
lrwpan-mobile,ns3::TcpFusion,20,19,300,15.000000,60.000000,3,0.096996,272.221515,0.763326,0.236674,4.164922
lrwpan-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,1,0.091750,366.867153,0.698813,0.301187,7.770796
lrwpan-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,2,0.093197,301.524975,0.707549,0.292451,7.775034
lrwpan-mobile,ns3::TcpFusion,40,30,300,15.000000,60.000000,3,0.086259,259.534559,0.643811,0.356189,7.765211
lrwpan-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,0.086766,288.892853,0.699488,0.300512,11.346432
lrwpan-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,0.093092,288.887608,0.694269,0.305731,11.377235
lrwpan-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,3,0.091494,295.900639,0.709580,0.290420,11.366009
lrwpan-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,1,0.091825,277.641584,0.689647,0.310353,14.974989
lrwpan-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,2,0.088769,275.901793,0.662113,0.337887,14.972747
lrwpan-mobile,ns3::TcpFusion,80,30,300,15.000000,60.000000,3,0.089601,274.082521,0.707617,0.292383,14.948370
lrwpan-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,1,0.095679,395.444523,0.740237,0.259763,18.570167
lrwpan-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,2,0.090234,284.871789,0.685274,0.314726,18.566413
lrwpan-mobile,ns3::TcpFusion,100,30,300,15.000000,60.000000,3,0.088036,300.351812,0.688059,0.311941,18.562400
lrwpan-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,1,0.098505,177.874113,0.800840,0.199160,11.354056
lrwpan-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,2,0.101636,262.161226,0.841338,0.158662,11.352948
lrwpan-mobile,ns3::TcpFusion,60,10,300,15.000000,60.000000,3,0.101026,195.720687,0.810437,0.189563,11.357756
lrwpan-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,1,0.090927,219.697056,0.723040,0.276960,11.351260
lrwpan-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,2,0.096846,244.903461,0.763631,0.236369,11.363039
lrwpan-mobile,ns3::TcpFusion,60,20,300,15.000000,60.000000,3,0.097401,332.379142,0.773985,0.226015,11.365051
lrwpan-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,1,0.086766,288.892853,0.699488,0.300512,11.346432
lrwpan-mobile,ns3::TcpFusion,60,30,300,15.000000,60.000000,2,0.093092,288.887608,0.694269,0.305731,11.377235
